Short_desc,Long_Desc,Series_ID,Indent
Intracity transportation,U.S. city average Intracity transportation Not Seasonally Adjusted,CUUR0000SETG03,3
Communication,U.S. city average Communication Not Seasonally Adjusted,CUUR0000SAE2,2
Information and information processing,U.S. city average Information and information processing Not Seasonally Adjusted,CUUR0000SAE21,3
Postage and delivery services,U.S. city average Postage and delivery services Not Seasonally Adjusted,CUUR0000SEEC,3
Club membership for shopping clubs fraternal or other organizations or participant sports fees,U.S. city average Club membership for shopping clubs fraternal or other organizations or participant sports fees Not Seasonally Adjusted,CUUR0000SERF01,3
All items less food,U.S. city average All items less food Not Seasonally Adjusted,CUUR0000SA0L1,0
All items less food and shelter,U.S. city average All items less food and shelter Not Seasonally Adjusted,CUUR0000SA0L12,0
All items less energy,U.S. city average All items less energy Not Seasonally Adjusted,CUUR0000SA0LE,0
All items less medical care,U.S. city average All items less medical care Not Seasonally Adjusted,CUUR0000SA0L5,0
All items less shelter,U.S. city average All items less shelter Not Seasonally Adjusted,CUUR0000SA0L2,0
All items less food and energy,U.S. city average All items less food and energy Not Seasonally Adjusted,CUUR0000SA0L1E,0
All items less food shelter energy and used cars and trucks,U.S. city average All items less food shelter energy and used cars and trucks Not Seasonally Adjusted,CUUR0000SA0L12E4,0
All items less food shelter and energy,U.S. city average All items less food shelter and energy Not Seasonally Adjusted,CUUR0000SA0L12E,0
